System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
Dell Inc. Latitude 7640,Intel Core i5-1345U,1600,10,"Mar 21, 2025",Windows,767.0,8109.0,https://browser.geekbench.com/v6/cpu/11127514
Dell Inc. Latitude 7440,Intel Core i5-1345U,1600,10,"Mar 20, 2025",Windows,456.0,2298.0,https://browser.geekbench.com/v6/cpu/11125787
LENOVO 21HES23H2K,Intel Core i5-1345U,1600,10,"Mar 20, 2025",Windows,1683.0,6025.0,https://browser.geekbench.com/v6/cpu/11119200
Dell Inc. Latitude 7340,Intel Core i5-1345U,1600,10,"Mar 18, 2025",Windows,2330.0,8667.0,https://browser.geekbench.com/v6/cpu/11090104
Dell Inc. Latitude 5440,Intel Core i5-1345U,1600,10,"Mar 17, 2025",Windows,1782.0,5243.0,https://browser.geekbench.com/v6/cpu/11076993
Dell Inc. Latitude 7440,Intel Core i5-1345U,2493,10,"Mar 17, 2025",Windows,2014.0,7576.0,https://browser.geekbench.com/v6/cpu/11076198
Dell Inc. Latitude 5340,Intel Core i5-1345U,1600,10,"Mar 17, 2025",Windows,2268.0,8607.0,https://browser.geekbench.com/v6/cpu/11070979
Dell Inc. Latitude 5340,Intel Core i5-1345U,1600,10,"Mar 17, 2025",Windows,1886.0,7826.0,https://browser.geekbench.com/v6/cpu/11070576
Dell Inc. Latitude 5340,Intel Core i5-1345U,1600,10,"Mar 17, 2025",Windows,2155.0,5606.0,https://browser.geekbench.com/v6/cpu/11070234
Dell Inc. Latitude 3550,Intel Core i5-1345U,4700,10,"Mar 15, 2025",Linux,1238.0,2934.0,https://browser.geekbench.com/v6/cpu/11034034
Dell Inc. Latitude 3550,Intel Core i5-1345U,4700,10,"Mar 15, 2025",Linux,1115.0,2824.0,https://browser.geekbench.com/v6/cpu/11033879
Dell Inc. Latitude 5540,Intel Core i5-1345U,1600,10,"Mar 15, 2025",Windows,2141.0,4825.0,https://browser.geekbench.com/v6/cpu/11033369
LENOVO 21HRS1E30A,Intel Core i5-1345U,1600,10,"Mar 14, 2025",Windows,2304.0,7141.0,https://browser.geekbench.com/v6/cpu/11028547
HP HP EliteBook 640 14 inch G10 Notebook PC,Intel Core i5-1345U,1600,10,"Mar 14, 2025",Windows,2347.0,8064.0,https://browser.geekbench.com/v6/cpu/11017922
HP HP EliteBook 640 14 inch G10 Notebook PC,Intel Core i5-1345U,1600,10,"Mar 14, 2025",Windows,1860.0,4377.0,https://browser.geekbench.com/v6/cpu/11017307
LENOVO 21F3S21G00,Intel Core i5-1345U,1600,10,"Mar 14, 2025",Windows,1899.0,4330.0,https://browser.geekbench.com/v6/cpu/11015933
LENOVO 21HJS0Y70E,Intel Core i5-1345U,4700,10,"Mar 13, 2025",Linux,2447.0,7939.0,https://browser.geekbench.com/v6/cpu/11005544
LENOVO 21HJS0Y70E,Intel Core i5-1345U,4700,10,"Mar 13, 2025",Linux,2537.0,9562.0,https://browser.geekbench.com/v6/cpu/11005462
HP HP EliteBook 840 14 inch G10 Notebook PC,Intel Core i5-1345U,1600,10,"Mar 13, 2025",Windows,2331.0,8356.0,https://browser.geekbench.com/v6/cpu/11003086
HP HP EliteBook 840 14 inch G10 Notebook PC,Intel Core i5-1345U,1600,10,"Mar 13, 2025",Windows,2309.0,7647.0,https://browser.geekbench.com/v6/cpu/11002699
HP HP EliteBook 840 14 inch G10 Notebook PC,Intel Core i5-1345U,1600,10,"Mar 13, 2025",Windows,1258.0,5582.0,https://browser.geekbench.com/v6/cpu/11002605
LENOVO 21F7S0UE0D,Intel Core i5-1345U,1600,10,"Mar 13, 2025",Windows,1408.0,4089.0,https://browser.geekbench.com/v6/cpu/10995186
LENOVO 21F7S0UE0D,Intel Core i5-1345U,2493,10,"Mar 12, 2025",Windows,2294.0,5008.0,https://browser.geekbench.com/v6/cpu/10989289
Dell Inc. Latitude 5340,Intel Core i5-1345U,1600,10,"Mar 12, 2025",Windows,1914.0,7093.0,https://browser.geekbench.com/v6/cpu/10981555
LENOVO 21HNS14N00,Intel Core i5-1345U,1600,10,"Mar 12, 2025",Windows,2412.0,9578.0,https://browser.geekbench.com/v6/cpu/10979689
LENOVO 21HNS14N00,Intel Core i5-1345U,1600,10,"Mar 12, 2025",Windows,2412.0,8747.0,https://browser.geekbench.com/v6/cpu/10979610
Microsoft Corporation Virtual Machine,Intel Core i5-1345U,3327,3,"Mar 12, 2025",Android,1890.0,5453.0,https://browser.geekbench.com/v6/cpu/10979085
HP HP EliteBook 640 14 inch G10 Notebook PC,Intel Core i5-1345U,1600,10,"Mar 11, 2025",Windows,1769.0,3998.0,https://browser.geekbench.com/v6/cpu/10970456
HP HP EliteBook 640 14 inch G10 Notebook PC,Intel Core i5-1345U,1600,10,"Mar 11, 2025",Windows,1549.0,4022.0,https://browser.geekbench.com/v6/cpu/10970354
HP HP EliteBook 640 14 inch G10 Notebook PC,Intel Core i5-1345U,1600,10,"Mar 10, 2025",Windows,2131.0,6543.0,https://browser.geekbench.com/v6/cpu/10949990
Dell Inc. Latitude 3450,Intel Core i5-1345U,1600,10,"Mar 09, 2025",Windows,2333.0,7623.0,https://browser.geekbench.com/v6/cpu/10941813
Dell Inc. Latitude 3450,Intel Core i5-1345U,1600,10,"Mar 09, 2025",Windows,1665.0,6418.0,https://browser.geekbench.com/v6/cpu/10941736
Dell Inc. Latitude 3450,Intel Core i5-1345U,1600,10,"Mar 09, 2025",Windows,1247.0,5596.0,https://browser.geekbench.com/v6/cpu/10938057
HP HP EliteBook 640 14 inch G10 Notebook PC,Intel Core i5-1345U,1600,10,"Mar 09, 2025",Windows,2316.0,8210.0,https://browser.geekbench.com/v6/cpu/10933574
HP HP EliteBook 640 14 inch G10 Notebook PC,Intel Core i5-1345U,1600,10,"Mar 08, 2025",Windows,1539.0,3938.0,https://browser.geekbench.com/v6/cpu/10927325
Dell Inc. Latitude 5540,Intel Core i5-1345U,1600,10,"Mar 07, 2025",Windows,2201.0,6589.0,https://browser.geekbench.com/v6/cpu/10911109
Dell Inc. Latitude 5540,Intel Core i5-1345U,1600,10,"Mar 07, 2025",Windows,2222.0,6657.0,https://browser.geekbench.com/v6/cpu/10910996
Dell Inc. Latitude 5540,Intel Core i5-1345U,1600,10,"Mar 07, 2025",Windows,2294.0,6781.0,https://browser.geekbench.com/v6/cpu/10910533
Dell Inc. Latitude 5540,Intel Core i5-1345U,1600,10,"Mar 07, 2025",Windows,2271.0,6862.0,https://browser.geekbench.com/v6/cpu/10910463
LENOVO 21HES0E700,Intel Core i5-1345U,1600,10,"Mar 07, 2025",Windows,1539.0,3842.0,https://browser.geekbench.com/v6/cpu/10909591
LENOVO 21HES0E700,Intel Core i5-1345U,1600,10,"Mar 07, 2025",Windows,1557.0,3981.0,https://browser.geekbench.com/v6/cpu/10897507
LENOVO 21HES0E700,Intel Core i5-1345U,1600,10,"Mar 05, 2025",Windows,1243.0,3739.0,https://browser.geekbench.com/v6/cpu/10880542
LENOVO 21HES0E700,Intel Core i5-1345U,1600,10,"Mar 05, 2025",Windows,1375.0,3038.0,https://browser.geekbench.com/v6/cpu/10880415
LENOVO 21HES0E700,Intel Core i5-1345U,1600,10,"Mar 05, 2025",Windows,1128.0,3411.0,https://browser.geekbench.com/v6/cpu/10867941
Dell Inc. Latitude 7440,Intel Core i5-1345U,1600,10,"Mar 04, 2025",Windows,1605.0,4535.0,https://browser.geekbench.com/v6/cpu/10852646
LENOVO 21HMCTO1WW,Intel Core i5-1345U,1600,10,"Mar 03, 2025",Windows,2404.0,9586.0,https://browser.geekbench.com/v6/cpu/10844840
LENOVO 21HMCTO1WW,Intel Core i5-1345U,1600,10,"Mar 03, 2025",Windows,2328.0,9447.0,https://browser.geekbench.com/v6/cpu/10844756
Dell Inc. Latitude 5440,Intel Core i5-1345U,1600,10,"Mar 01, 2025",Windows,2295.0,5289.0,https://browser.geekbench.com/v6/cpu/10812443
LENOVO 21H2S04700,Intel Core i5-1345U,1600,10,"Feb 26, 2025",Windows,2134.0,7823.0,https://browser.geekbench.com/v6/cpu/10755715
Dell Inc. Latitude 5450,Intel Core i5-1345U,1600,10,"Feb 25, 2025",Windows,2290.0,6450.0,https://browser.geekbench.com/v6/cpu/10745706
Dell Inc. Latitude 5450,Intel Core i5-1345U,1600,10,"Feb 25, 2025",Windows,2282.0,8393.0,https://browser.geekbench.com/v6/cpu/10744585
Dell Inc. Latitude 7440,Intel Core i5-1345U,1600,10,"Feb 19, 2025",Windows,2303.0,8874.0,https://browser.geekbench.com/v6/cpu/10620034
HP HP EliteBook 640 14 inch G10 Notebook PC,Intel Core i5-1345U,1600,10,"Feb 18, 2025",Windows,2304.0,7679.0,https://browser.geekbench.com/v6/cpu/10613991
Dell Inc. Latitude 5440,Intel Core i5-1345U,1600,10,"Feb 18, 2025",Windows,2018.0,6724.0,https://browser.geekbench.com/v6/cpu/10611453
Dell Inc. Latitude 5440,Intel Core i5-1345U,1600,10,"Feb 18, 2025",Windows,2380.0,7811.0,https://browser.geekbench.com/v6/cpu/10611239
Dell Inc. Latitude 5440,Intel Core i5-1345U,1600,10,"Feb 18, 2025",Windows,2335.0,7781.0,https://browser.geekbench.com/v6/cpu/10611102
