System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
HP HP EliteBook 835 13 inch G11 Notebook PC,AMD Ryzen 5 PRO 8540U,3201,6,"Mar 14, 2025",Windows,2352.0,8696.0,https://browser.geekbench.com/v6/cpu/11028507
LENOVO 21MDS18H03,AMD Ryzen 5 PRO 8540U,3201,6,"Mar 10, 2025",Windows,1545.0,3192.0,https://browser.geekbench.com/v6/cpu/10950359
HP HP EliteBook 845 14 inch G11 Notebook PC,AMD Ryzen 5 PRO 8540U,3201,6,"Mar 07, 2025",Windows,2412.0,7757.0,https://browser.geekbench.com/v6/cpu/10904317
HP HP EliteBook 845 14 inch G11 Notebook PC,AMD Ryzen 5 PRO 8540U,3201,6,"Mar 07, 2025",Windows,1824.0,6079.0,https://browser.geekbench.com/v6/cpu/10903936
LENOVO 21MC003XUS,AMD Ryzen 5 PRO 8540U,3201,6,"Mar 05, 2025",Windows,1203.0,4931.0,https://browser.geekbench.com/v6/cpu/10874238
LENOVO 21MDS05500,AMD Ryzen 5 PRO 8540U,3201,6,"Mar 03, 2025",Windows,2119.0,5664.0,https://browser.geekbench.com/v6/cpu/10843500
LENOVO 21MDS05500,AMD Ryzen 5 PRO 8540U,3201,6,"Mar 03, 2025",Windows,2257.0,6998.0,https://browser.geekbench.com/v6/cpu/10842957
LENOVO 21MCCTO1WW,AMD Ryzen 5 PRO 8540U,3201,6,"Feb 27, 2025",Windows,2190.0,6822.0,https://browser.geekbench.com/v6/cpu/10780779
HP HP EliteBook 865 16 inch G11 Notebook PC,AMD Ryzen 5 8540U,3201,6,"Feb 15, 2025",Windows,2415.0,7969.0,https://browser.geekbench.com/v6/cpu/10545038
HP HP EliteBook 865 16 inch G11 Notebook PC,AMD Ryzen 5 8540U,3201,6,"Feb 15, 2025",Windows,2196.0,5681.0,https://browser.geekbench.com/v6/cpu/10544976
HP HP EliteBook 865 16 inch G11 Notebook PC,AMD Ryzen 5 8540U,3201,6,"Feb 15, 2025",Windows,2184.0,5950.0,https://browser.geekbench.com/v6/cpu/10544920
LENOVO 21MCCTO1WW,AMD Ryzen 5 PRO 8540U,3201,6,"Feb 07, 2025",Windows,2374.0,7876.0,https://browser.geekbench.com/v6/cpu/10384375
LENOVO 21MDS1N900,AMD Ryzen 5 PRO 8540U,4976,6,"Jan 29, 2025",Linux,2585.0,9850.0,https://browser.geekbench.com/v6/cpu/10189592
LENOVO 21MDS2FP00,AMD Ryzen 5 PRO 8540U,3201,6,"Jan 28, 2025",Windows,2475.0,8037.0,https://browser.geekbench.com/v6/cpu/10160492
LENOVO 21MC0006PB,AMD Ryzen 5 PRO 8540U,3201,6,"Jan 23, 2025",Windows,1853.0,5366.0,https://browser.geekbench.com/v6/cpu/10075313
LENOVO 21MCCTO1WW,AMD Ryzen 5 PRO 8540U,3201,6,"Jan 21, 2025",Windows,2537.0,9839.0,https://browser.geekbench.com/v6/cpu/10045473
LENOVO 21MCCTO1WW,AMD Ryzen 5 PRO 8540U,3201,6,"Jan 21, 2025",Windows,2545.0,9854.0,https://browser.geekbench.com/v6/cpu/10045373
LENOVO 21MDS1KD0C,AMD Ryzen 5 PRO 8540U,3201,6,"Jan 17, 2025",Windows,1893.0,6938.0,https://browser.geekbench.com/v6/cpu/9979611
LENOVO 21MCCTO1WW,AMD Ryzen 5 PRO 8540U,3201,6,"Jan 08, 2025",Windows,2182.0,8570.0,https://browser.geekbench.com/v6/cpu/9826287
HP HP EliteBook 845 14 inch G11 Notebook PC,AMD Ryzen 5 PRO 8540U,3201,6,"Jan 07, 2025",Windows,2563.0,9629.0,https://browser.geekbench.com/v6/cpu/9817512
HP HP EliteBook 845 14 inch G11 Notebook PC,AMD Ryzen 5 8540U,3201,6,"Jan 03, 2025",Windows,1842.0,5566.0,https://browser.geekbench.com/v6/cpu/9739525
HP HP EliteBook 845 14 inch G11 Notebook PC,AMD Ryzen 5 8540U,3201,6,"Dec 30, 2024",Windows,1800.0,5373.0,https://browser.geekbench.com/v6/cpu/9693098
HP HP EliteBook 845 14 inch G11 Notebook PC,AMD Ryzen 5 PRO 8540U,3201,6,"Dec 30, 2024",Windows,2503.0,9021.0,https://browser.geekbench.com/v6/cpu/9690219
LENOVO 21MC000NUS,AMD Ryzen 5 PRO 8540U,3201,6,"Dec 24, 2024",Windows,2447.0,9037.0,https://browser.geekbench.com/v6/cpu/9597206
LENOVO 21MDS00D00,AMD Ryzen 5 PRO 8540U,4976,6,"Dec 12, 2024",Linux,1835.0,5989.0,https://browser.geekbench.com/v6/cpu/9391211
LENOVO 21MC000NUS,AMD Ryzen 5 PRO 8540U,3201,6,"Dec 08, 2024",Windows,2447.0,9532.0,https://browser.geekbench.com/v6/cpu/9305797
LENOVO 21MC000NUS,AMD Ryzen 5 PRO 8540U,3201,6,"Dec 03, 2024",Windows,2307.0,8845.0,https://browser.geekbench.com/v6/cpu/9210763
LENOVO 21MCCTO1WW,AMD Ryzen 5 PRO 8540U,3201,6,"Dec 02, 2024",Windows,2396.0,7967.0,https://browser.geekbench.com/v6/cpu/9197444
HP HP EliteBook 845 14 inch G11 Notebook PC,AMD Ryzen 5 PRO 8540U,3201,6,"Nov 26, 2024",Windows,2396.0,7677.0,https://browser.geekbench.com/v6/cpu/9082704
LENOVO 21MDS2TT00,AMD Ryzen 5 PRO 8540U,3201,6,"Nov 26, 2024",Windows,2530.0,9100.0,https://browser.geekbench.com/v6/cpu/9078908
