System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
Dell Inc. Latitude 5490,Intel Core i5-8350U,1895,4,"Feb 16, 2025",Windows,1243.0,3345.0,https://browser.geekbench.com/v6/cpu/10571718
HP HP EliteBook 840 G5,Intel Core i5-8350U,1896,4,"Feb 16, 2025",Windows,1170.0,3706.0,https://browser.geekbench.com/v6/cpu/10569312
LENOVO 20L6S57T08,Intel Core i5-8350U,3600,4,"Feb 16, 2025",Linux,1320.0,4274.0,https://browser.geekbench.com/v6/cpu/10567991
LENOVO 20L6S5ML00,Intel Core i5-8350U,1896,4,"Feb 15, 2025",Windows,1017.0,2932.0,https://browser.geekbench.com/v6/cpu/10559838
Dell Inc. Latitude 5490,Intel Core i5-8350U,1895,4,"Feb 15, 2025",Windows,1153.0,3312.0,https://browser.geekbench.com/v6/cpu/10554839
LENOVO 20L6S57T08,Intel Core i5-8350U,3600,4,"Feb 15, 2025",Linux,892.0,3046.0,https://browser.geekbench.com/v6/cpu/10554514
Dell Inc. Latitude 7490,Intel Core i5-8350U,1896,4,"Feb 15, 2025",Windows,1254.0,2694.0,https://browser.geekbench.com/v6/cpu/10552697
LENOVO 20L8A03JMX,Intel Core i5-8350U,1895,4,"Feb 15, 2025",Windows,971.0,3036.0,https://browser.geekbench.com/v6/cpu/10550852
LENOVO 20L6S57T08,Intel Core i5-8350U,3600,4,"Feb 15, 2025",Linux,1334.0,4266.0,https://browser.geekbench.com/v6/cpu/10550356
Dell Inc. Latitude 7390,Intel Core i5-8350U,3600,4,"Feb 15, 2025",Linux,1190.0,3588.0,https://browser.geekbench.com/v6/cpu/10550351
LENOVO 20L6S57T08,Intel Core i5-8350U,3600,4,"Feb 15, 2025",Linux,1264.0,4090.0,https://browser.geekbench.com/v6/cpu/10550238
innotek GmbH VirtualBox,Intel Core i5-8350U,1895,4,"Feb 14, 2025",Linux,844.0,2262.0,https://browser.geekbench.com/v6/cpu/10542909
innotek GmbH VirtualBox,Intel Core i5-8350U,1895,4,"Feb 14, 2025",Linux,854.0,2229.0,https://browser.geekbench.com/v6/cpu/10542313
LENOVO 20KES8F500,Intel Core i5-8350U,1896,4,"Feb 14, 2025",Windows,1198.0,3483.0,https://browser.geekbench.com/v6/cpu/10542103
LENOVO 20L7002CUS,Intel Core i5-8350U,1896,4,"Feb 14, 2025",Windows,1102.0,3101.0,https://browser.geekbench.com/v6/cpu/10541819
LENOVO 20L6S14Y01,Intel Core i5-8350U,3600,4,"Feb 14, 2025",Linux,1200.0,3204.0,https://browser.geekbench.com/v6/cpu/10538534
Dell Inc. Latitude 5490,Intel Core i5-8350U,3600,4,"Feb 14, 2025",Linux,1314.0,4219.0,https://browser.geekbench.com/v6/cpu/10538295
LENOVO 20L6S57T08,Intel Core i5-8350U,3600,4,"Feb 14, 2025",Linux,1256.0,4050.0,https://browser.geekbench.com/v6/cpu/10536284
LENOVO 20KES5W203,Intel Core i5-8350U,1896,4,"Feb 14, 2025",Windows,1238.0,3448.0,https://browser.geekbench.com/v6/cpu/10528751
LENOVO 20L8S1NR00,Intel Core i5-8350U,1894,4,"Feb 13, 2025",Windows,1190.0,3233.0,https://browser.geekbench.com/v6/cpu/10522168
Dell Inc. Latitude 5590,Intel Core i5-8350U,1894,4,"Feb 13, 2025",Windows,1134.0,2459.0,https://browser.geekbench.com/v6/cpu/10519583
LENOVO 20LAS3ES00,Intel Core i5-8350U,1896,4,"Feb 13, 2025",Windows,875.0,1835.0,https://browser.geekbench.com/v6/cpu/10518485
LENOVO 20LAS3ES00,Intel Core i5-8350U,1896,4,"Feb 13, 2025",Windows,767.0,1816.0,https://browser.geekbench.com/v6/cpu/10518191
Dell Inc. Latitude 5290,Intel Core i5-8350U,3600,4,"Feb 13, 2025",Linux,988.0,2405.0,https://browser.geekbench.com/v6/cpu/10517975
Dell Inc. Latitude 5290,Intel Core i5-8350U,3600,4,"Feb 13, 2025",Linux,1101.0,2362.0,https://browser.geekbench.com/v6/cpu/10517969
Dell Inc. Latitude 5290,Intel Core i5-8350U,3600,4,"Feb 13, 2025",Linux,1100.0,2260.0,https://browser.geekbench.com/v6/cpu/10517968
LENOVO 20L6S57T08,Intel Core i5-8350U,3600,4,"Feb 13, 2025",Linux,1335.0,4266.0,https://browser.geekbench.com/v6/cpu/10517833
LENOVO 20L6S57T08,Intel Core i5-8350U,3600,4,"Feb 13, 2025",Linux,1280.0,4097.0,https://browser.geekbench.com/v6/cpu/10517666
