System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
Acer Aspire E5-471G,Intel Core i5-5200U,2194,2,"Mar 22, 2025",Windows,867.0,1626.0,https://browser.geekbench.com/v6/cpu/11144378
LENOVO 20BXCTO1WW,Intel Core i5-5200U,2195,2,"Mar 21, 2025",Windows,494.0,1664.0,https://browser.geekbench.com/v6/cpu/11143136
LENOVO 20DF0054UK [EndeavourOS],Intel Core i5-5200U,2700,2,"Mar 21, 2025",Linux,979.0,1907.0,https://browser.geekbench.com/v6/cpu/11142570
Hewlett-Packard HP EliteBook 840 G2,Intel Core i5-5200U,2195,2,"Mar 21, 2025",Windows,549.0,1017.0,https://browser.geekbench.com/v6/cpu/11142082
LENOVO 20CJS0FA00,Intel Core i5-5200U,2194,2,"Mar 21, 2025",Windows,415.0,823.0,https://browser.geekbench.com/v6/cpu/11140185
LENOVO 20CJS0FA00,Intel Core i5-5200U,2194,2,"Mar 21, 2025",Windows,856.0,1604.0,https://browser.geekbench.com/v6/cpu/11139626
LENOVO 20CJS0FA00,Intel Core i5-5200U,2194,2,"Mar 21, 2025",Windows,723.0,1607.0,https://browser.geekbench.com/v6/cpu/11139461
ASUSTeK COMPUTER INC. TP500LB,Intel Core i5-5200U,137,2,"Mar 21, 2025",Windows,894.0,1692.0,https://browser.geekbench.com/v6/cpu/11138525
ASUSTeK COMPUTER INC. TP500LB,Intel Core i5-5200U,137,2,"Mar 21, 2025",Windows,894.0,1693.0,https://browser.geekbench.com/v6/cpu/11138387
Dell Inc. Inspiron 3543,Intel Core i5-5200U,2194,2,"Mar 21, 2025",Windows,425.0,690.0,https://browser.geekbench.com/v6/cpu/11135628
LENOVO 20DM003TMZ,Intel Core i5-5200U,2195,2,"Mar 19, 2025",Windows,624.0,1073.0,https://browser.geekbench.com/v6/cpu/11103104
Hewlett-Packard HP ENVY 15 x360 PC,Intel Core i5-5200U,2195,2,"Mar 19, 2025",Windows,769.0,1697.0,https://browser.geekbench.com/v6/cpu/11096991
LENOVO 80EW,Intel Core i5-5200U,2195,2,"Mar 18, 2025",Windows,827.0,1510.0,https://browser.geekbench.com/v6/cpu/11079765
Dell Inc. Inspiron 3543,Intel Core i5-5200U,2194,2,"Mar 18, 2025",Windows,829.0,1450.0,https://browser.geekbench.com/v6/cpu/11079723
TOSHIBA SATELLITE L50-B,Intel Core i5-5200U,2195,2,"Mar 17, 2025",Windows,752.0,1439.0,https://browser.geekbench.com/v6/cpu/11077302
Hewlett-Packard HP ProBook 450 G2,Intel Core i5-5200U,2195,2,"Mar 17, 2025",Windows,659.0,1421.0,https://browser.geekbench.com/v6/cpu/11069522
"MacBookAir7,2",Intel Core i5-5200U,2200,2,"Mar 17, 2025",macOS,863.0,1655.0,https://browser.geekbench.com/v6/cpu/11069182
Dell Inc. Latitude E5550,Intel Core i5-5200U,2195,2,"Mar 17, 2025",Windows,274.0,554.0,https://browser.geekbench.com/v6/cpu/11065587
ASUSTeK COMPUTER INC. X555LJ,Intel Core i5-5200U,2170,2,"Mar 16, 2025",Windows,627.0,1157.0,https://browser.geekbench.com/v6/cpu/11051637
Pensieve HP ENVY x360 m6 Convertible Intel Core i5-5200U,Intel Core i5-5200U,2195,2,"Mar 16, 2025",Windows,890.0,1738.0,https://browser.geekbench.com/v6/cpu/11048449
ASUSTeK COMPUTER INC. UX303LAB,Intel Core i5-5200U,2700,2,"Mar 15, 2025",Linux,554.0,1267.0,https://browser.geekbench.com/v6/cpu/11039907
ASUSTeK COMPUTER INC. UX303LAB,Intel Core i5-5200U,2700,2,"Mar 15, 2025",Linux,646.0,1006.0,https://browser.geekbench.com/v6/cpu/11039851
Dell Inc. XPS 13 9343,Intel Core i5-5200U,2195,2,"Mar 14, 2025",Windows,857.0,1455.0,https://browser.geekbench.com/v6/cpu/11028001
Unknown,Intel Core i5-5200U,2195,2,"Mar 14, 2025",Windows,895.0,1757.0,https://browser.geekbench.com/v6/cpu/11026961
Dell Inc. XPS 13 9343,Intel Core i5-5200U,2196,2,"Mar 14, 2025",Windows,883.0,1700.0,https://browser.geekbench.com/v6/cpu/11024721
Dell Inc. Inspiron 5448,Intel Core i5-5200U,2194,2,"Mar 14, 2025",Windows,882.0,1612.0,https://browser.geekbench.com/v6/cpu/11023864
Dell Inc. Latitude E5450,Intel Core i5-5200U,2196,2,"Mar 14, 2025",Windows,927.0,1770.0,https://browser.geekbench.com/v6/cpu/11015945
HP HP Pavilion Notebook,Intel Core i5-5200U,2195,2,"Mar 14, 2025",Windows,275.0,943.0,https://browser.geekbench.com/v6/cpu/11013049
Dell Inc. Inspiron 7548,Intel Core i5-5200U,2700,2,"Mar 13, 2025",Linux,955.0,1833.0,https://browser.geekbench.com/v6/cpu/11007670
Hewlett-Packard HP EliteBook 840 G2,Intel Core i5-5200U,2194,2,"Mar 13, 2025",Windows,753.0,1552.0,https://browser.geekbench.com/v6/cpu/11006130
Hewlett-Packard HP EliteBook 840 G2,Intel Core i5-5200U,2195,2,"Mar 13, 2025",Windows,775.0,1593.0,https://browser.geekbench.com/v6/cpu/11006127
Dell Inc. Inspiron 3558,Intel Core i5-5200U,2194,2,"Mar 13, 2025",Windows,752.0,1514.0,https://browser.geekbench.com/v6/cpu/11003098
Hewlett-Packard HP EliteBook 840 G2,Intel Core i5-5200U,2195,2,"Mar 12, 2025",Windows,665.0,1282.0,https://browser.geekbench.com/v6/cpu/10990809
Dell Inc. Inspiron 5558,Intel Core i5-5200U,2194,2,"Mar 12, 2025",Windows,791.0,1460.0,https://browser.geekbench.com/v6/cpu/10985935
LENOVO 80QQ,Intel Core i5-5200U,2194,2,"Mar 12, 2025",Windows,858.0,1496.0,https://browser.geekbench.com/v6/cpu/10985382
Dell Inc. Latitude 3450,Intel Core i5-5200U,2194,2,"Mar 12, 2025",Windows,841.0,1627.0,https://browser.geekbench.com/v6/cpu/10983691
Dell Inc. Latitude 3450,Intel Core i5-5200U,2194,2,"Mar 12, 2025",Windows,881.0,1488.0,https://browser.geekbench.com/v6/cpu/10983580
Dell Inc. Latitude 3450,Intel Core i5-5200U,2194,2,"Mar 12, 2025",Windows,788.0,1479.0,https://browser.geekbench.com/v6/cpu/10982577
Dell Inc. Latitude 3450,Intel Core i5-5200U,2194,2,"Mar 12, 2025",Windows,419.0,1278.0,https://browser.geekbench.com/v6/cpu/10982325
Dell Inc. Inspiron 5558,Intel Core i5-5200U,2193,2,"Mar 11, 2025",Windows,934.0,1737.0,https://browser.geekbench.com/v6/cpu/10972625
Dell Inc. Inspiron 5558,Intel Core i5-5200U,2193,2,"Mar 11, 2025",Windows,933.0,1788.0,https://browser.geekbench.com/v6/cpu/10972329
Dell Inc. Inspiron 5558,Intel Core i5-5200U,2193,2,"Mar 11, 2025",Windows,927.0,1790.0,https://browser.geekbench.com/v6/cpu/10972255
Dell Inc. Inspiron 5558,Intel Core i5-5200U,2193,2,"Mar 11, 2025",Windows,931.0,1783.0,https://browser.geekbench.com/v6/cpu/10972144
Dell Inc. Inspiron 5558,Intel Core i5-5200U,2193,2,"Mar 11, 2025",Windows,919.0,1773.0,https://browser.geekbench.com/v6/cpu/10972029
Dell Inc. Inspiron 5558,Intel Core i5-5200U,2193,2,"Mar 11, 2025",Windows,887.0,1760.0,https://browser.geekbench.com/v6/cpu/10971907
Dell Inc. Inspiron 5558,Intel Core i5-5200U,2201,2,"Mar 11, 2025",Windows,708.0,1390.0,https://browser.geekbench.com/v6/cpu/10971689
Dell Inc. Inspiron 3443,Intel Core i5-5200U,2201,2,"Mar 11, 2025",Windows,725.0,1344.0,https://browser.geekbench.com/v6/cpu/10969046
LENOVO 20BX000XUK,Intel Core i5-5200U,2196,2,"Mar 11, 2025",Windows,916.0,1725.0,https://browser.geekbench.com/v6/cpu/10968820
Dell Inc. Inspiron 3543,Intel Core i5-5200U,2201,2,"Mar 11, 2025",Windows,885.0,1526.0,https://browser.geekbench.com/v6/cpu/10965010
"MacBookAir8,2",Intel Core i5-5200U,2200,2,"Mar 11, 2025",macOS,799.0,1422.0,https://browser.geekbench.com/v6/cpu/10962089
ASUSTeK COMPUTER INC. X555LPB,Intel Core i5-5200U,2138,2,"Mar 10, 2025",Windows,555.0,830.0,https://browser.geekbench.com/v6/cpu/10958634
Hewlett-Packard HP EliteBook 820 G2,Intel Core i5-5200U,2700,2,"Mar 10, 2025",Linux,862.0,1805.0,https://browser.geekbench.com/v6/cpu/10957835
Dell Inc. Inspiron 5558,Intel Core i5-5200U,2194,2,"Mar 10, 2025",Windows,940.0,1709.0,https://browser.geekbench.com/v6/cpu/10957708
Dell Inc. Inspiron 5558,Intel Core i5-5200U,2201,2,"Mar 10, 2025",Windows,932.0,1762.0,https://browser.geekbench.com/v6/cpu/10957617
Dell Inc. Inspiron 5558,Intel Core i5-5200U,2194,2,"Mar 10, 2025",Windows,757.0,1744.0,https://browser.geekbench.com/v6/cpu/10957389
