System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
"MacBookPro16,3",Intel Core i5-8265U,1800,4,"Apr 25, 2025",macOS,1334.0,3682.0,https://browser.geekbench.com/v6/cpu/11676663
LENOVO 20N20032US,Intel Core i5-8265U,1800,4,"Apr 25, 2025",Windows,1352.0,3779.0,https://browser.geekbench.com/v6/cpu/11675395
"MacBookPro15,2",Intel Core i5-8265U,1800,4,"Apr 24, 2025",macOS,910.0,2747.0,https://browser.geekbench.com/v6/cpu/11672970
"MacBookPro16,3",Intel Core i5-8265U,1800,4,"Apr 24, 2025",macOS,1253.0,3060.0,https://browser.geekbench.com/v6/cpu/11672036
"Macmini8,1",Intel Core i5-8265U,1800,4,"Apr 24, 2025",macOS,1321.0,3493.0,https://browser.geekbench.com/v6/cpu/11671993
"MacBookPro15,2",Intel Core i5-8265U,1800,4,"Apr 24, 2025",macOS,917.0,2665.0,https://browser.geekbench.com/v6/cpu/11671697
LENOVO 20NT0016IX,Intel Core i5-8265U,1800,4,"Apr 24, 2025",Windows,1162.0,2521.0,https://browser.geekbench.com/v6/cpu/11666845
ASUSTeK COMPUTER INC. ZenBook UX562FD_UX562FD,Intel Core i5-8265U,1795,4,"Apr 24, 2025",Windows,1376.0,4459.0,https://browser.geekbench.com/v6/cpu/11666749
Acer Aspire A315-55G,Intel Core i5-8265U,1800,4,"Apr 24, 2025",Windows,1246.0,3195.0,https://browser.geekbench.com/v6/cpu/11665620
Acer Aspire A315-55G,Intel Core i5-8265U,1800,4,"Apr 24, 2025",Windows,1223.0,2868.0,https://browser.geekbench.com/v6/cpu/11665509
LENOVO 20NX003KGE,Intel Core i5-8265U,3900,4,"Apr 24, 2025",Linux,1335.0,3650.0,https://browser.geekbench.com/v6/cpu/11665349
LENOVO 20NX003KGE,Intel Core i5-8265U,3900,4,"Apr 24, 2025",Linux,1367.0,3618.0,https://browser.geekbench.com/v6/cpu/11663228
HP HP ProBook 440 G6,Intel Core i5-8265U,1795,4,"Apr 24, 2025",Windows,1258.0,2273.0,https://browser.geekbench.com/v6/cpu/11661741
ASUSTeK COMPUTER INC. VivoBook_ASUSLaptop X512FL_X512FL,Intel Core i5-8265U,1795,4,"Apr 24, 2025",Windows,1322.0,3209.0,https://browser.geekbench.com/v6/cpu/11660925
HP HP Pavilion x360 Convertible 14-dh0xxx,Intel Core i5-8265U,1796,4,"Apr 24, 2025",Windows,1192.0,3201.0,https://browser.geekbench.com/v6/cpu/11659448
HP HP Pavilion x360 Convertible 14-dh0xxx,Intel Core i5-8265U,1796,4,"Apr 24, 2025",Windows,1126.0,3101.0,https://browser.geekbench.com/v6/cpu/11659014
LENOVO 11ADS0B100,Intel Core i5-8265U,1800,4,"Apr 24, 2025",Windows,1238.0,3429.0,https://browser.geekbench.com/v6/cpu/11657483
Dell Inc. Latitude 3400,Intel Core i5-8265U,3900,4,"Apr 24, 2025",Linux,1217.0,3238.0,https://browser.geekbench.com/v6/cpu/11657287
HP HP EliteBook 840 G6,Intel Core i5-8265U,1796,4,"Apr 23, 2025",Windows,1304.0,4256.0,https://browser.geekbench.com/v6/cpu/11653279
Acer Aspire A315-55G,Intel Core i5-8265U,1800,4,"Apr 23, 2025",Windows,838.0,2139.0,https://browser.geekbench.com/v6/cpu/11651324
HP HP Pavilion x360 Convertible 14-dh0xxx,Intel Core i5-8265U,1800,4,"Apr 22, 2025",Windows,1211.0,3056.0,https://browser.geekbench.com/v6/cpu/11642003
Dynabook Inc. dynabook EZ35/PB,Intel Core i5-8265U,1800,4,"Apr 22, 2025",Windows,839.0,2362.0,https://browser.geekbench.com/v6/cpu/11637161
LENOVO 11ADS0B100,Intel Core i5-8265U,1800,4,"Apr 22, 2025",Windows,1239.0,3659.0,https://browser.geekbench.com/v6/cpu/11636938
HP HP ProBook 440 G6,Intel Core i5-8265U,1800,4,"Apr 22, 2025",Windows,1260.0,3140.0,https://browser.geekbench.com/v6/cpu/11634204
HP HP ProBook 440 G6,Intel Core i5-8265U,1800,4,"Apr 22, 2025",Windows,1283.0,3112.0,https://browser.geekbench.com/v6/cpu/11634202
HP HP ProBook 440 G6,Intel Core i5-8265U,1800,4,"Apr 22, 2025",Windows,1302.0,3113.0,https://browser.geekbench.com/v6/cpu/11634200
HP HP ProBook 440 G6,Intel Core i5-8265U,1800,4,"Apr 22, 2025",Windows,1156.0,2838.0,https://browser.geekbench.com/v6/cpu/11634079
HP HP ProBook 440 G6,Intel Core i5-8265U,1800,4,"Apr 22, 2025",Windows,1223.0,3180.0,https://browser.geekbench.com/v6/cpu/11634074
HP HP ProBook 440 G6,Intel Core i5-8265U,1800,4,"Apr 22, 2025",Windows,1295.0,3072.0,https://browser.geekbench.com/v6/cpu/11634072
Dell Inc. Latitude 5500,Intel Core i5-8265U,1795,4,"Apr 22, 2025",Windows,1104.0,2962.0,https://browser.geekbench.com/v6/cpu/11633729
Dell Inc. Latitude 5400,Intel Core i5-8265U,3900,4,"Apr 22, 2025",Linux,480.0,2658.0,https://browser.geekbench.com/v6/cpu/11632372
Dell Inc. Latitude 5400,Intel Core i5-8265U,3900,4,"Apr 22, 2025",Linux,891.0,1124.0,https://browser.geekbench.com/v6/cpu/11632339
Dell Inc. Latitude 5400,Intel Core i5-8265U,3900,4,"Apr 22, 2025",Linux,866.0,1164.0,https://browser.geekbench.com/v6/cpu/11632337
Dell Inc. Latitude 5400,Intel Core i5-8265U,3900,4,"Apr 22, 2025",Linux,911.0,1075.0,https://browser.geekbench.com/v6/cpu/11632329
Dell Inc. Latitude 5400,Intel Core i5-8265U,3900,4,"Apr 22, 2025",Linux,1020.0,1043.0,https://browser.geekbench.com/v6/cpu/11632317
HP HP Laptop 15-da1xxx,Intel Core i5-8265U,1795,4,"Apr 22, 2025",Windows,995.0,2595.0,https://browser.geekbench.com/v6/cpu/11631371
Dell Inc. Inspiron 7580,Intel Core i5-8265U,3900,4,"Apr 22, 2025",Linux,1370.0,4167.0,https://browser.geekbench.com/v6/cpu/11627710
Dell Inc. Latitude 7400,Intel Core i5-8265U,3900,4,"Apr 21, 2025",Linux,974.0,2897.0,https://browser.geekbench.com/v6/cpu/11623959
Dell Inc. Latitude 7400,Intel Core i5-8265U,3900,4,"Apr 21, 2025",Linux,401.0,1310.0,https://browser.geekbench.com/v6/cpu/11623170
Dell Inc. Latitude 7400,Intel Core i5-8265U,3900,4,"Apr 21, 2025",Linux,446.0,676.0,https://browser.geekbench.com/v6/cpu/11623159
Dell Inc. Latitude 7400,Intel Core i5-8265U,3900,4,"Apr 21, 2025",Linux,534.0,566.0,https://browser.geekbench.com/v6/cpu/11623157
Dell Inc. Latitude 7400,Intel Core i5-8265U,3900,4,"Apr 21, 2025",Linux,536.0,603.0,https://browser.geekbench.com/v6/cpu/11623156
Dell Inc. Latitude 7400,Intel Core i5-8265U,3900,4,"Apr 21, 2025",Linux,527.0,623.0,https://browser.geekbench.com/v6/cpu/11623152
Dell Inc. Latitude 7400,Intel Core i5-8265U,3900,4,"Apr 21, 2025",Linux,827.0,876.0,https://browser.geekbench.com/v6/cpu/11623060
Dell Inc. Latitude 7400,Intel Core i5-8265U,3900,4,"Apr 21, 2025",Linux,876.0,878.0,https://browser.geekbench.com/v6/cpu/11623055
HP HP Laptop 15-da1xxx,Intel Core i5-8265U,1795,4,"Apr 21, 2025",Windows,909.0,2298.0,https://browser.geekbench.com/v6/cpu/11617333
HP HP Pavilion Laptop 15-cs1xxx,Intel Core i5-8265U,1794,4,"Apr 21, 2025",Windows,1024.0,1910.0,https://browser.geekbench.com/v6/cpu/11615426
LENOVO 81MV,Intel Core i5-8265U,1800,4,"Apr 20, 2025",Windows,1295.0,3526.0,https://browser.geekbench.com/v6/cpu/11611907
ASUSTeK COMPUTER INC. VivoBook_ASUSLaptop X512FA_X512FA,Intel Core i5-8265U,1800,4,"Apr 20, 2025",Windows,1190.0,3422.0,https://browser.geekbench.com/v6/cpu/11611427
LENOVO 20Q6S1L100,Intel Core i5-8265U,1795,4,"Apr 20, 2025",Windows,1283.0,2896.0,https://browser.geekbench.com/v6/cpu/11603867
HP HP ProBook 430 G6,Intel Core i5-8265U,1800,4,"Apr 20, 2025",Windows,891.0,1988.0,https://browser.geekbench.com/v6/cpu/11603604
Dell Inc. Inspiron 5482,Intel Core i5-8265U,3900,4,"Apr 19, 2025",Linux,1180.0,2415.0,https://browser.geekbench.com/v6/cpu/11590543
Dell Inc. Inspiron 5482,Intel Core i5-8265U,3900,4,"Apr 19, 2025",Linux,1229.0,2438.0,https://browser.geekbench.com/v6/cpu/11590541
Dell Inc. Latitude 7400,Intel Core i5-8265U,1800,4,"Apr 19, 2025",Windows,1323.0,3603.0,https://browser.geekbench.com/v6/cpu/11587381
Dell Inc. Latitude 7400,Intel Core i5-8265U,1800,4,"Apr 19, 2025",Windows,1238.0,3389.0,https://browser.geekbench.com/v6/cpu/11587308
Dell Inc. Latitude 7400,Intel Core i5-8265U,1800,4,"Apr 19, 2025",Windows,1275.0,3910.0,https://browser.geekbench.com/v6/cpu/11587223
Dell Inc. Latitude 7400,Intel Core i5-8265U,1800,4,"Apr 19, 2025",Windows,1305.0,3308.0,https://browser.geekbench.com/v6/cpu/11587079
LENOVO 20NB001AIX,Intel Core i5-8265U,1801,4,"Apr 19, 2025",Windows,1301.0,3403.0,https://browser.geekbench.com/v6/cpu/11586637
LG Electronics 15ZD990-VX50K,Intel Core i5-8265U,1800,4,"Apr 19, 2025",Windows,1087.0,2854.0,https://browser.geekbench.com/v6/cpu/11586344
MECHREVO S1 Pro Series,Intel Core i5-8265U,1800,4,"Apr 19, 2025",Windows,1334.0,2991.0,https://browser.geekbench.com/v6/cpu/11582255
MECHREVO S1 Pro Series,Intel Core i5-8265U,1800,4,"Apr 19, 2025",Windows,1288.0,3032.0,https://browser.geekbench.com/v6/cpu/11582089
HP HP EliteBook 840 G6,Intel Core i5-8265U,1800,4,"Apr 18, 2025",Windows,1295.0,4036.0,https://browser.geekbench.com/v6/cpu/11581077
Dell Inc. Vostro 3583,Intel Core i5-8265U,3900,4,"Apr 18, 2025",Linux,1209.0,3436.0,https://browser.geekbench.com/v6/cpu/11579476
Dell Inc. Vostro 3583,Intel Core i5-8265U,3900,4,"Apr 18, 2025",Linux,1278.0,3465.0,https://browser.geekbench.com/v6/cpu/11579381
HP HP 250 G7 Notebook PC,Intel Core i5-8265U,1795,4,"Apr 18, 2025",Windows,1298.0,3238.0,https://browser.geekbench.com/v6/cpu/11577481
