System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Mar 21, 2025",Windows,708.0,2657.0,https://browser.geekbench.com/v6/cpu/11139037
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Mar 20, 2025",Windows,1091.0,2913.0,https://browser.geekbench.com/v6/cpu/11126928
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,3700,4,"Mar 18, 2025",Linux,1747.0,5260.0,https://browser.geekbench.com/v6/cpu/11094014
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,3700,4,"Mar 18, 2025",Linux,1483.0,5004.0,https://browser.geekbench.com/v6/cpu/11093878
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Mar 18, 2025",Windows,1523.0,5035.0,https://browser.geekbench.com/v6/cpu/11086010
ADVAN 1701,Intel Core i5-1035G7,1501,4,"Mar 18, 2025",Windows,1249.0,3557.0,https://browser.geekbench.com/v6/cpu/11083250
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Mar 16, 2025",Windows,1523.0,4944.0,https://browser.geekbench.com/v6/cpu/11063216
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Mar 16, 2025",Windows,1570.0,4974.0,https://browser.geekbench.com/v6/cpu/11063158
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Mar 16, 2025",Windows,1562.0,4446.0,https://browser.geekbench.com/v6/cpu/11051371
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Mar 16, 2025",Windows,1141.0,3879.0,https://browser.geekbench.com/v6/cpu/11046749
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Mar 15, 2025",Windows,918.0,3254.0,https://browser.geekbench.com/v6/cpu/11045670
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Mar 15, 2025",Windows,925.0,3273.0,https://browser.geekbench.com/v6/cpu/11035115
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Mar 15, 2025",Windows,974.0,4507.0,https://browser.geekbench.com/v6/cpu/11034846
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Mar 14, 2025",Windows,1580.0,4976.0,https://browser.geekbench.com/v6/cpu/11026730
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Mar 13, 2025",Windows,939.0,3309.0,https://browser.geekbench.com/v6/cpu/11007248
LG Electronics 15Z90N-VP50ML,Intel Core i5-1035G7,1496,4,"Mar 13, 2025",Windows,925.0,2202.0,https://browser.geekbench.com/v6/cpu/10998443
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Mar 13, 2025",Windows,1582.0,4751.0,https://browser.geekbench.com/v6/cpu/10996429
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Mar 13, 2025",Windows,1024.0,3371.0,https://browser.geekbench.com/v6/cpu/10996332
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Mar 12, 2025",Windows,1580.0,3460.0,https://browser.geekbench.com/v6/cpu/10990341
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Mar 12, 2025",Windows,791.0,1361.0,https://browser.geekbench.com/v6/cpu/10989753
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Mar 12, 2025",Windows,1005.0,3310.0,https://browser.geekbench.com/v6/cpu/10989565
LG Electronics 14Z90N-V.BR51P1,Intel Core i5-1035G7,1498,4,"Mar 12, 2025",Windows,1610.0,3507.0,https://browser.geekbench.com/v6/cpu/10985019
LG Electronics 17Z90N-V.AA55A8,Intel Core i5-1035G7,1498,4,"Mar 08, 2025",Windows,1215.0,3320.0,https://browser.geekbench.com/v6/cpu/10916201
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Mar 03, 2025",Windows,767.0,2477.0,https://browser.geekbench.com/v6/cpu/10846839
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Mar 03, 2025",Windows,1346.0,4495.0,https://browser.geekbench.com/v6/cpu/10845862
LG Electronics 15ZD90N-VX50K,Intel Core i5-1035G7,1496,4,"Mar 02, 2025",Windows,1341.0,3725.0,https://browser.geekbench.com/v6/cpu/10831338
LG Electronics 15ZD90N-VX50K,Intel Core i5-1035G7,1496,4,"Mar 02, 2025",Windows,1323.0,3037.0,https://browser.geekbench.com/v6/cpu/10831208
GPD G1619-01,Intel Core i5-1035G7,3700,4,"Mar 01, 2025",Linux,558.0,2105.0,https://browser.geekbench.com/v6/cpu/10808993
GPD G1619-01,Intel Core i5-1035G7,1200,4,"Mar 01, 2025",Linux,557.0,2095.0,https://browser.geekbench.com/v6/cpu/10808832
GPD G1619-01,Intel Core i5-1035G7,3700,4,"Mar 01, 2025",Linux,1102.0,2183.0,https://browser.geekbench.com/v6/cpu/10808623
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Feb 24, 2025",Windows,1225.0,3775.0,https://browser.geekbench.com/v6/cpu/10723988
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Feb 24, 2025",Windows,1143.0,4505.0,https://browser.geekbench.com/v6/cpu/10723710
Microsoft Corporation Surface Book 3,Intel Core i5-1035G7,1498,4,"Feb 22, 2025",Windows,1390.0,3609.0,https://browser.geekbench.com/v6/cpu/10688579
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Feb 21, 2025",Windows,1367.0,4271.0,https://browser.geekbench.com/v6/cpu/10660102
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Feb 21, 2025",Windows,941.0,2611.0,https://browser.geekbench.com/v6/cpu/10659921
AZW SEi,Intel Core i5-1035G7,1501,4,"Feb 20, 2025",Windows,1149.0,2603.0,https://browser.geekbench.com/v6/cpu/10649314
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Feb 20, 2025",Windows,1587.0,5121.0,https://browser.geekbench.com/v6/cpu/10641818
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Feb 19, 2025",Windows,1433.0,4913.0,https://browser.geekbench.com/v6/cpu/10622940
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Feb 17, 2025",Windows,1010.0,3416.0,https://browser.geekbench.com/v6/cpu/10592658
LG Electronics 14ZD90N-VX50K,Intel Core i5-1035G7,1496,4,"Feb 17, 2025",Windows,1196.0,2156.0,https://browser.geekbench.com/v6/cpu/10583283
LG Electronics 14ZD90N-VX50K,Intel Core i5-1035G7,1496,4,"Feb 17, 2025",Windows,888.0,2241.0,https://browser.geekbench.com/v6/cpu/10583138
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Feb 14, 2025",Windows,1157.0,1495.0,https://browser.geekbench.com/v6/cpu/10524947
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Feb 12, 2025",Windows,1474.0,4865.0,https://browser.geekbench.com/v6/cpu/10485089
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Feb 11, 2025",Windows,1562.0,3378.0,https://browser.geekbench.com/v6/cpu/10467390
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Feb 11, 2025",Windows,1150.0,4630.0,https://browser.geekbench.com/v6/cpu/10467212
GPD G1619-01,Intel Core i5-1035G7,3700,2,"Feb 09, 2025",Linux,1259.0,1942.0,https://browser.geekbench.com/v6/cpu/10418315
GPD G1619-01,Intel Core i5-1035G7,3700,2,"Feb 09, 2025",Linux,1325.0,1404.0,https://browser.geekbench.com/v6/cpu/10418306
GPD G1619-01,Intel Core i5-1035G7,3700,2,"Feb 09, 2025",Linux,1354.0,1489.0,https://browser.geekbench.com/v6/cpu/10418303
LG Electronics 14Z90N-V.AR55B,Intel Core i5-1035G7,1496,4,"Feb 08, 2025",Windows,1601.0,3617.0,https://browser.geekbench.com/v6/cpu/10401232
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Feb 05, 2025",Windows,1581.0,4632.0,https://browser.geekbench.com/v6/cpu/10327360
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Feb 04, 2025",Windows,708.0,2738.0,https://browser.geekbench.com/v6/cpu/10295233
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Feb 04, 2025",Windows,1102.0,2275.0,https://browser.geekbench.com/v6/cpu/10294914
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1498,4,"Feb 03, 2025",Windows,1470.0,4693.0,https://browser.geekbench.com/v6/cpu/10266164
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Jan 28, 2025",Windows,1086.0,3435.0,https://browser.geekbench.com/v6/cpu/10163398
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Jan 28, 2025",Windows,1106.0,3413.0,https://browser.geekbench.com/v6/cpu/10163150
Microsoft Corporation Surface Laptop 3,Intel Core i5-1035G7,1496,4,"Jan 28, 2025",Windows,1065.0,3313.0,https://browser.geekbench.com/v6/cpu/10162909
