System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
LENOVO 21K9CTO1WW,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 20, 2025",Windows,2084.0,5939.0,https://browser.geekbench.com/v6/cpu/11116417
LENOVO 21K4S1PL00,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 20, 2025",Windows,1784.0,5649.0,https://browser.geekbench.com/v6/cpu/11115244
LENOVO 21K5002PAU,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 19, 2025",Windows,1829.0,6066.0,https://browser.geekbench.com/v6/cpu/11097607
HP HP EliteBook 845 14 inch G10 Notebook PC,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 17, 2025",Windows,1671.0,7439.0,https://browser.geekbench.com/v6/cpu/11077440
HP HP EliteBook 845 14 inch G10 Notebook PC,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 17, 2025",Windows,1833.0,6539.0,https://browser.geekbench.com/v6/cpu/11072398
HP HP EliteBook 845 14 inch G10 Notebook PC,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 17, 2025",Windows,2148.0,7004.0,https://browser.geekbench.com/v6/cpu/11072323
LENOVO 21K8S09G04,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 16, 2025",Windows,2177.0,8961.0,https://browser.geekbench.com/v6/cpu/11060530
HP HP EliteBook 845 14 inch G10 Notebook PC,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 15, 2025",Windows,2435.0,9119.0,https://browser.geekbench.com/v6/cpu/11044985
HP HP EliteBook 845 14 inch G10 Notebook PC,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 15, 2025",Windows,2128.0,6981.0,https://browser.geekbench.com/v6/cpu/11037871
HP HP EliteBook 845 14 inch G10 Notebook PC,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 15, 2025",Windows,2146.0,6984.0,https://browser.geekbench.com/v6/cpu/11037747
HP HP EliteBook 845 14 inch G10 Notebook PC,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 15, 2025",Windows,1862.0,6548.0,https://browser.geekbench.com/v6/cpu/11037667
HP HP EliteBook 845 14 inch G10 Notebook PC,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 15, 2025",Windows,1867.0,6598.0,https://browser.geekbench.com/v6/cpu/11037452
HP HP EliteBook 845 14 inch G10 Notebook PC,AMD Ryzen 5 PRO 7540U,3201,6,"Mar 15, 2025",Windows,1263.0,5298.0,https://browser.geekbench.com/v6/cpu/11037354
