System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
innotek GmbH VirtualBox,Intel Core i5-1245U,2495,2,"Feb 15, 2025",Linux,1933.0,3311.0,https://browser.geekbench.com/v6/cpu/10557604
Dell Inc. Latitude 5430,Intel Core i5-1245U,1600,10,"Feb 15, 2025",Windows,1758.0,4645.0,https://browser.geekbench.com/v6/cpu/10557540
Dell Inc. Latitude 5430,Intel Core i5-1245U,1600,10,"Feb 15, 2025",Windows,1957.0,5566.0,https://browser.geekbench.com/v6/cpu/10557415
Microsoft Corporation Surface Laptop 5,Intel Core i5-1245U,2500,10,"Feb 14, 2025",Windows,1499.0,5952.0,https://browser.geekbench.com/v6/cpu/10536895
Microsoft Corporation Surface Pro 9,Intel Core i5-1245U,2500,10,"Feb 14, 2025",Windows,1624.0,6126.0,https://browser.geekbench.com/v6/cpu/10536645
Dell Inc. Latitude 5430,Intel Core i5-1245U,1600,10,"Feb 14, 2025",Windows,2167.0,6200.0,https://browser.geekbench.com/v6/cpu/10532576
Thinkpad T14 - i5-1245u,Intel Core i5-1245U,2493,10,"Feb 13, 2025",Windows,2223.0,7190.0,https://browser.geekbench.com/v6/cpu/10519221
LENOVO 21BSS25701,Intel Core i5-1245U,1600,10,"Feb 13, 2025",Windows,2100.0,8028.0,https://browser.geekbench.com/v6/cpu/10518876
Dell Inc. Latitude 5530,Intel Core i5-1245U,2493,10,"Feb 12, 2025",Windows,2230.0,5398.0,https://browser.geekbench.com/v6/cpu/10500643
Microsoft Corporation Surface Pro 9,Intel Core i5-1245U,2500,10,"Feb 12, 2025",Windows,1087.0,5333.0,https://browser.geekbench.com/v6/cpu/10499845
LENOVO 21AJS4Y400,Intel Core i5-1245U,1600,10,"Feb 12, 2025",Windows,1530.0,3564.0,https://browser.geekbench.com/v6/cpu/10495185
Microsoft Corporation Surface Laptop 5,Intel Core i5-1245U,2500,10,"Feb 12, 2025",Windows,1613.0,6419.0,https://browser.geekbench.com/v6/cpu/10485134
