System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
Dell Inc. Latitude 7400,Intel Core i5-8365U,1896,4,"Feb 16, 2025",Windows,573.0,2128.0,https://browser.geekbench.com/v6/cpu/10573797
FUJITSU CLIENT COMPUTING LIMITED FMVA62002,Intel Core i5-8365U,1896,4,"Feb 16, 2025",Windows,1382.0,3544.0,https://browser.geekbench.com/v6/cpu/10572967
Dell Inc. Latitude 5300 2-in-1,Intel Core i5-8365U,1896,4,"Feb 16, 2025",Windows,1315.0,3309.0,https://browser.geekbench.com/v6/cpu/10572641
Dell Inc. Latitude 5300 2-in-1,Intel Core i5-8365U,1896,4,"Feb 16, 2025",Windows,1105.0,2599.0,https://browser.geekbench.com/v6/cpu/10572515
HP HP ProBook 640 G5,Intel Core i5-8365U,1896,4,"Feb 16, 2025",Windows,727.0,1688.0,https://browser.geekbench.com/v6/cpu/10572052
Dell Inc. Latitude 7400,Intel Core i5-8365U,1896,4,"Feb 16, 2025",Windows,532.0,1992.0,https://browser.geekbench.com/v6/cpu/10570446
Dell Inc. Latitude 5400,Intel Core i5-8365U,1896,4,"Feb 16, 2025",Windows,1039.0,2491.0,https://browser.geekbench.com/v6/cpu/10569465
Dell Inc. Latitude 7400,Intel Core i5-8365U,1896,4,"Feb 16, 2025",Windows,503.0,1855.0,https://browser.geekbench.com/v6/cpu/10566890
Intel(R) Client Systems NUC8v5PNB,Intel Core i5-8365U,4100,4,"Feb 16, 2025",Linux,1330.0,3748.0,https://browser.geekbench.com/v6/cpu/10564828
"MacBookPro15,4",Intel Core i5-8365U,1900,4,"Feb 15, 2025",macOS,1260.0,3565.0,https://browser.geekbench.com/v6/cpu/10563605
LENOVO 20Q1S6AF00,Intel Core i5-8365U,1896,4,"Feb 15, 2025",Windows,1127.0,2608.0,https://browser.geekbench.com/v6/cpu/10558924
Dell Inc. Latitude 5300 2-in-1,Intel Core i5-8365U,1895,4,"Feb 15, 2025",Windows,1399.0,3677.0,https://browser.geekbench.com/v6/cpu/10558072
HP HP EliteBook 840 G6,Intel Core i5-8365U,1896,4,"Feb 15, 2025",Windows,1113.0,1541.0,https://browser.geekbench.com/v6/cpu/10558047
Dell Inc. 0PD9KD,Intel Core i5-8365U,4100,4,"Feb 15, 2025",Android,1358.0,4007.0,https://browser.geekbench.com/v6/cpu/10556252
Dell Inc. 0PD9KD,Intel Core i5-8365U,4100,4,"Feb 15, 2025",Android,1360.0,4311.0,https://browser.geekbench.com/v6/cpu/10555027
LENOVO 20QES3HS0J,Intel Core i5-8365U,1896,4,"Feb 15, 2025",Windows,1339.0,3363.0,https://browser.geekbench.com/v6/cpu/10550163
Dell Inc. Latitude 5300,Intel Core i5-8365U,1896,4,"Feb 15, 2025",Windows,1070.0,2861.0,https://browser.geekbench.com/v6/cpu/10549821
LENOVO 20N3S1GK00,Intel Core i5-8365U,1895,4,"Feb 15, 2025",Windows,1231.0,3229.0,https://browser.geekbench.com/v6/cpu/10548516
LENOVO 20N3S1GK00,Intel Core i5-8365U,1895,4,"Feb 15, 2025",Windows,1307.0,3633.0,https://browser.geekbench.com/v6/cpu/10548304
HP HP EliteBook 850 G6,Intel Core i5-8365U,1896,4,"Feb 15, 2025",Windows,619.0,1995.0,https://browser.geekbench.com/v6/cpu/10544618
HP HP EliteBook 850 G6,Intel Core i5-8365U,1896,4,"Feb 14, 2025",Windows,848.0,2271.0,https://browser.geekbench.com/v6/cpu/10543341
HP HP EliteBook 850 G6,Intel Core i5-8365U,4100,4,"Feb 14, 2025",Linux,1449.0,4067.0,https://browser.geekbench.com/v6/cpu/10543186
HP HP EliteBook 850 G6,Intel Core i5-8365U,1896,4,"Feb 14, 2025",Windows,1409.0,3439.0,https://browser.geekbench.com/v6/cpu/10542553
Dell Inc. 0932VT,Intel Core i5-8365U,4100,4,"Feb 14, 2025",Android,1233.0,2866.0,https://browser.geekbench.com/v6/cpu/10539711
FUJITSU CLIENT COMPUTING LIMITED LIFEBOOK U749,Intel Core i5-8365U,1896,4,"Feb 14, 2025",Windows,826.0,2630.0,https://browser.geekbench.com/v6/cpu/10539553
HP HP EliteBook 850 G6,Intel Core i5-8365U,4100,4,"Feb 14, 2025",Linux,1439.0,4339.0,https://browser.geekbench.com/v6/cpu/10535503
HP HP EliteBook 850 G6,Intel Core i5-8365U,4100,4,"Feb 14, 2025",Linux,1414.0,4201.0,https://browser.geekbench.com/v6/cpu/10535320
Dell Inc. Latitude 5300,Intel Core i5-8365U,1895,4,"Feb 14, 2025",Windows,659.0,2656.0,https://browser.geekbench.com/v6/cpu/10531797
HP HP EliteBook 840 G6,Intel Core i5-8365U,1896,4,"Feb 14, 2025",Windows,947.0,2461.0,https://browser.geekbench.com/v6/cpu/10531616
"MacBookPro15,4",Intel Core i5-8365U,1900,4,"Feb 13, 2025",macOS,1218.0,3420.0,https://browser.geekbench.com/v6/cpu/10512170
Dell Inc. Latitude 7400 2-in-1,Intel Core i5-8365U,4100,4,"Feb 13, 2025",Linux,849.0,2070.0,https://browser.geekbench.com/v6/cpu/10507684
Dell Inc. Latitude 7400 2-in-1,Intel Core i5-8365U,4100,4,"Feb 13, 2025",Linux,886.0,1889.0,https://browser.geekbench.com/v6/cpu/10507681
Dell Inc. Latitude 7400 2-in-1,Intel Core i5-8365U,4100,4,"Feb 13, 2025",Linux,962.0,1914.0,https://browser.geekbench.com/v6/cpu/10507675
Dell Inc. Latitude 7400 2-in-1,Intel Core i5-8365U,4100,4,"Feb 13, 2025",Linux,1230.0,2201.0,https://browser.geekbench.com/v6/cpu/10507651
