System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
LENOVO 20F90076US,Intel Core i5-6200U,2394,2,"Feb 15, 2025",Windows,832.0,1619.0,https://browser.geekbench.com/v6/cpu/10559920
ASUSTeK COMPUTER INC. X756UW,Intel Core i5-6200U,2394,2,"Feb 15, 2025",Windows,970.0,1993.0,https://browser.geekbench.com/v6/cpu/10559720
HP HP Notebook,Intel Core i5-6200U,2394,2,"Feb 15, 2025",Windows,930.0,2006.0,https://browser.geekbench.com/v6/cpu/10557928
STONE COMPUTERS N24_25JU,Intel Core i5-6200U,2401,2,"Feb 15, 2025",Windows,876.0,1680.0,https://browser.geekbench.com/v6/cpu/10556217
Dell Inc. XPS 13 9350,Intel Core i5-6200U,2393,2,"Feb 15, 2025",Windows,938.0,1858.0,https://browser.geekbench.com/v6/cpu/10545083
HP HP Pavilion x360 Convertible,Intel Core i5-6200U,2400,2,"Feb 14, 2025",Windows,848.0,1134.0,https://browser.geekbench.com/v6/cpu/10541540
HP HP Pavilion x360 Convertible,Intel Core i5-6200U,2400,2,"Feb 14, 2025",Windows,747.0,1660.0,https://browser.geekbench.com/v6/cpu/10540799
HP HP Pavilion x360 Convertible,Intel Core i5-6200U,2400,2,"Feb 14, 2025",Windows,601.0,1449.0,https://browser.geekbench.com/v6/cpu/10540572
Dell Inc. Latitude E5470,Intel Core i5-6200U,2392,2,"Feb 14, 2025",Windows,999.0,2030.0,https://browser.geekbench.com/v6/cpu/10535101
Dell Inc. Latitude E5470,Intel Core i5-6200U,2394,2,"Feb 14, 2025",Windows,967.0,1889.0,https://browser.geekbench.com/v6/cpu/10534736
Dell Inc. Latitude 3570,Intel Core i5-6200U,2394,2,"Feb 14, 2025",Windows,873.0,1996.0,https://browser.geekbench.com/v6/cpu/10533339
Dell Inc. Latitude E7270,Intel Core i5-6200U,2393,2,"Feb 14, 2025",Windows,980.0,2095.0,https://browser.geekbench.com/v6/cpu/10526972
HP HP EliteBook 840 G3,Intel Core i5-6200U,2394,2,"Feb 14, 2025",Windows,874.0,1850.0,https://browser.geekbench.com/v6/cpu/10525998
HP HP 250 G5 Notebook PC,Intel Core i5-6200U,2392,2,"Feb 12, 2025",Windows,876.0,1557.0,https://browser.geekbench.com/v6/cpu/10500495
HP HP 250 G5 Notebook PC,Intel Core i5-6200U,2392,2,"Feb 12, 2025",Windows,915.0,1694.0,https://browser.geekbench.com/v6/cpu/10500382
HP HP ProBook 650 G2,Intel Core i5-6200U,2394,2,"Feb 12, 2025",Windows,853.0,1423.0,https://browser.geekbench.com/v6/cpu/10493987
LENOVO 20JNS4BH00,Intel Core i5-6200U,2395,2,"Feb 12, 2025",Windows,490.0,1488.0,https://browser.geekbench.com/v6/cpu/10492799
Dell Inc. Inspiron 5559,Intel Core i5-6200U,2395,2,"Feb 12, 2025",Windows,997.0,2025.0,https://browser.geekbench.com/v6/cpu/10492751
ASUSTeK COMPUTER INC. X556UR,Intel Core i5-6200U,2394,2,"Feb 12, 2025",Windows,727.0,1840.0,https://browser.geekbench.com/v6/cpu/10489323
"MacBookPro14,1",Intel Core i5-6200U,2400,2,"Feb 11, 2025",macOS,949.0,1986.0,https://browser.geekbench.com/v6/cpu/10476595
LENOVO 20JNS02A0H,Intel Core i5-6200U,2394,2,"Feb 11, 2025",Windows,896.0,1779.0,https://browser.geekbench.com/v6/cpu/10476174
LENOVO 20JNS02A0H,Intel Core i5-6200U,2394,2,"Feb 11, 2025",Windows,854.0,1779.0,https://browser.geekbench.com/v6/cpu/10475826
Dell Inc. Latitude E7270,Intel Core i5-6200U,2394,2,"Feb 11, 2025",Windows,565.0,1748.0,https://browser.geekbench.com/v6/cpu/10471153
"VMware, Inc. VMware20,1",Intel Core i5-6200U,2400,1,"Feb 11, 2025",Linux,827.0,689.0,https://browser.geekbench.com/v6/cpu/10470341
HP HP EliteBook Folio 1040 G3,Intel Core i5-6200U,2394,2,"Feb 11, 2025",Windows,862.0,1815.0,https://browser.geekbench.com/v6/cpu/10470097
Google rammus,Intel Core i5-6200U,2400,4,"Feb 11, 2025",Android,772.0,1463.0,https://browser.geekbench.com/v6/cpu/10469026
LENOVO 80QA,Intel Core i5-6200U,2401,2,"Feb 11, 2025",Windows,851.0,1789.0,https://browser.geekbench.com/v6/cpu/10465605
"VMware, Inc. VMware20,1",Intel Core i5-6200U,2400,1,"Feb 11, 2025",Linux,780.0,682.0,https://browser.geekbench.com/v6/cpu/10465559
LENOVO 80QD,Intel Core i5-6200U,2394,2,"Feb 11, 2025",Windows,910.0,1799.0,https://browser.geekbench.com/v6/cpu/10463589
HP HP EliteBook 840 G3,Intel Core i5-6200U,2800,2,"Feb 10, 2025",Linux,616.0,806.0,https://browser.geekbench.com/v6/cpu/10457031
HP HP EliteBook 840 G3,Intel Core i5-6200U,2800,2,"Feb 10, 2025",Linux,620.0,873.0,https://browser.geekbench.com/v6/cpu/10457029
